closing-price,sentiment-score,sentiment-change,price-change,unix-time
662.42,-0.43953,0,0,1614330000
653.05,-1.85811,-1.41858,-1.04,1614331800
643.52,0.49953,2.35764,-1.38,1614333600
643.39,2.85717,2.35764,0.12,1614335400
645.66,-0.90906,-3.76623,0.1,1614337200
641.68,1.91811,2.82717,-0.52,1614339000
645.32,1.44858,-0.46953,0.66,1614340800
643,0.49953,-0.93906,-0.44,1614342600
641.4,-0.43953,-0.93906,-0.05,1614344400
638.51,2.85717,3.2967,-0.57,1614346200
635.59,0.96906,-1.88811,-0.39,1614348000
622.21,-1.85811,-2.82717,-1.62,1614349800
614.62,-1.85811,0,-1.17,1614351600
614.21,-0.90906,0.93906,0.09,1614353400
616.79,-1.38858,-0.46953,0.15,1614355200
614.93,1.44858,2.82717,-0.25,1614357000
595.33,-0.43953,-1.88811,-2.53,1614394800
585.12,0.49953,0.93906,-1.59,1614396600
578.42,0.96906,0.46953,-0.81,1614398400
556.74,0.96906,0,-3.36,1614400200
563.06,0.03,-0.93906,0.95,1614402000
570.33,4.74528,4.71528,1.27,1614403800
575.12,1.44858,-3.2967,0.56,1614405600
578.01,2.38764,0.93906,0.58,1614407400
579.46,1.91811,-0.46953,-0.01,1614409200
577.43,1.44858,-0.46953,-0.29,1614411000
577.21,2.38764,0.93906,0.15,1614412800
569.37,7.57245,5.18481,-1.28,1614414600
553.95,5.68434,-1.88811,-2.11,1614416400
588.05,4.74528,-0.93906,4.93,1614418200
598.98,10.39962,5.65434,1.58,1614420000
585.33,4.74528,-5.65434,-1.75,1614421800
576.67,4.27575,-0.46953,-1.39,1614423600
581.9,6.6234,2.35764,0.93,1614425400
574.98,1.91811,-4.71528,-1.2,1614427200
591.63,4.74528,2.82717,2.46,1614429000
585.05,0.96906,-3.76623,-0.75,1614430800
590.54,3.79623,2.82717,0.65,1614432600
587.55,5.21481,1.41858,-0.26,1614434400
610.6,7.10292,1.88811,3.1,1614436200
599.13,4.74528,-2.35764,-1.61,1614438000
600.33,1.44858,-3.2967,0.35,1614439800
611.62,6.15387,4.71528,1.45,1614441600
614.23,5.21481,-0.93906,0.51,1614443400
615.43,-0.43953,-5.65434,-0.03,1614445200
616.74,3.79623,4.24575,0.17,1614447000
617.83,2.38764,-1.41858,0.33,1614448800
617.07,0.96906,-1.41858,-0.24,1614450600
621.6,0.49953,-0.46953,0.78,1614481200
615.43,1.44858,0.93906,-1.03,1614483000
625.43,0.49953,-0.93906,1.39,1614484800
625.34,3.3267,2.82717,0.16,1614486600
623.62,-0.90906,-4.24575,-0.37,1614488400
619.71,0.49953,1.41858,-0.37,1614490200
623.79,0.96906,0.46953,0.36,1614492000
628.93,4.74528,3.76623,0.7,1614493800
628.73,5.21481,0.46953,0.14,1614495600
625.22,7.10292,1.88811,-0.61,1614497400
610.01,3.3267,-3.76623,-1.92,1614499200
612.83,2.85717,-0.46953,0.19,1614501000
611.31,0.03,-2.82717,-0.2,1614502800
607.34,2.38764,2.35764,-0.36,1614504600
621.14,2.85717,0.46953,1.79,1614506400
626.4,6.6234,3.76623,0.88,1614508200
628.84,6.15387,-0.46953,0.13,1614510000
636.7,6.15387,0,1.07,1614511800
628.18,3.3267,-2.82717,-0.96,1614513600
634.05,3.79623,0.46953,0.66,1614515400
625.84,-1.38858,-5.18481,-0.95,1614517200
628.43,1.44858,2.82717,0.15,1614519000
627.09,0.03,-1.41858,-0.17,1614520800
636.61,1.91811,1.88811,1.47,1614522600
643.17,2.38764,0.46953,0.74,1614524400
639.47,2.85717,0.46953,-0.34,1614526200
638.43,0.96906,-1.88811,-0.33,1614528000
637.43,8.98104,8.01198,-0.13,1614529800
632.48,4.74528,-4.24575,-0.48,1614531600
635.71,4.27575,-0.46953,0.29,1614533400
637.89,2.38764,-1.88811,0.44,1614535200
639.63,2.85717,0.46953,0.03,1614537000
634.91,1.91811,-0.93906,-0.63,1614567600
629.33,2.85717,0.93906,-0.57,1614569400
629.52,-1.85811,-4.71528,-0.1,1614571200
633.48,-1.38858,0.46953,0.69,1614573000
634.43,1.44858,2.82717,-0.06,1614574800
628.78,2.38764,0.93906,-0.76,1614576600
629.28,0.96906,-1.41858,0.24,1614578400
622.12,-1.38858,-2.35764,-1.1,1614580200
618.21,3.79623,5.18481,-0.38,1614582000
617.84,1.44858,-2.35764,-0.24,1614583800
624.34,1.44858,0,0.9,1614585600
621.76,3.3267,1.88811,-0.16,1614587400
622.14,3.79623,0.46953,-0.08,1614589200
618.93,0.49953,-3.2967,-0.28,1614591000
614.43,2.38764,1.88811,-0.81,1614592800
615.08,2.85717,0.46953,0.08,1614594600
598.82,3.3267,0.46953,-2.06,1614596400
587.67,1.91811,-1.41858,-1.72,1614598200
588.77,1.44858,-0.46953,0.31,1614600000
601.03,-0.43953,-1.88811,1.55,1614601800
600.85,0.96906,1.41858,-0.02,1614603600
600.83,4.27575,3.2967,0.17,1614605400
593.67,0.96906,-3.2967,-1.14,1614607200
584.7,4.27575,3.2967,-1.11,1614609000
583.48,1.44858,-2.82717,-0.38,1614610800
576.63,-0.43953,-1.88811,-0.99,1614612600
583.33,4.27575,4.71528,1.16,1614614400
580.12,4.74528,0.46953,-0.6,1614616200
577.71,5.21481,0.46953,-0.18,1614618000
580.53,2.85717,-2.35764,0.2,1614619800
575.44,0.49953,-2.35764,-0.74,1614621600
560.33,-2.79717,-3.2967,-2.02,1614623400
582,0.96906,3.76623,3.09,1614654000
584.21,1.91811,0.93906,0.48,1614655800
582.43,-0.43953,-2.35764,-0.46,1614657600
569.43,0.03,0.46953,-1.9,1614659400
565.83,1.44858,1.41858,-0.33,1614661200
563.07,0.49953,-0.93906,-0.55,1614663000
564.21,-1.38858,-1.88811,0.33,1614664800
576.33,-1.38858,0,1.59,1614666600
574.68,1.91811,3.2967,-0.23,1614668400
582.33,2.85717,0.93906,1.31,1614670200
598.12,1.44858,-1.41858,2.14,1614672000
599.61,2.38764,0.93906,0.36,1614673800
568.83,1.91811,-0.46953,-4.55,1614675600
562.84,-2.32764,-4.24575,-0.89,1614677400
580.13,1.44858,3.76623,2.78,1614679200
585.2,2.85717,1.41858,0.59,1614681000
588.2,-0.90906,-3.76623,0.59,1614682800
588.41,1.91811,2.82717,-0.17,1614684600
579.05,3.79623,1.88811,-1.35,1614686400
579.1,4.27575,0.46953,0.19,1614688200
576.57,-1.85811,-6.12387,-0.51,1614690000
578.36,-3.2667,-1.41858,0.42,1614691800
583.64,3.79623,7.07292,0.56,1614693600
579.43,1.91811,-1.88811,-0.61,1614695400
573.12,-0.90906,-2.82717,-0.73,1614697200